,City Name,Hotel Name,Overall Ratings ,Hotel Comments,individual ratings
0,Bangkok,Mercure Bangkok Makkasan,8.2,Bad,1
1,Bangkok,Mercure Bangkok Makkasan,8.2,Exceptional,10
2,Bangkok,Mercure Bangkok Makkasan,8.2,Wonderful,9
3,Bangkok,Mercure Bangkok Makkasan,8.2,Very Good,8
4,Bangkok,Mercure Bangkok Makkasan,8.2,Very Good,8
5,Bangkok,Mercure Bangkok Makkasan,8.2,Very Good,8
6,Bangkok,Mercure Bangkok Makkasan,8.2,Very Good,8
7,Bangkok,Mercure Bangkok Makkasan,8.2,Excellent,8.8
8,Bangkok,Mercure Bangkok Makkasan,8.2,"Nice and clean room, very cold(!) water in the pool",7
9,Bangkok,Mercure Bangkok Makkasan,8.2,Very Good,8
10,Bangkok,Mercure Bangkok Makkasan,8.2,Superb short stay! Friendly Staff!!!,10
11,Bangkok,Mercure Bangkok Makkasan,8.2,Good,7.1
12,Bangkok,Mercure Bangkok Makkasan,8.2,Wonderful,9
13,Bangkok,Mercure Bangkok Makkasan,8.2,Good,7
14,Bangkok,Mercure Bangkok Makkasan,8.2,Wonderful,9.2
15,Bangkok,Mercure Bangkok Makkasan,8.2,Very Good,8
16,Bangkok,Mercure Bangkok Makkasan,8.2,Good,7.9
17,Bangkok,Mercure Bangkok Makkasan,8.2,Excellent,8.8
18,Bangkok,Mercure Bangkok Makkasan,8.2,Exceptional,10
19,Bangkok,Mercure Bangkok Makkasan,8.2,Qualitry hotel,7
20,Bangkok,Mercure Bangkok Makkasan,8.2,Fair,5
21,Bangkok,Mercure Bangkok Makkasan,8.2,Very large comfortable room with a nice view of the city,8
22,Bangkok,Mercure Bangkok Makkasan,8.2,Poor,3
23,Bangkok,Mercure Bangkok Makkasan,8.2,Good,7.9
24,Bangkok,Mercure Bangkok Makkasan,8.2,Wonderful,9.2
25,Bangkok,Mercure Bangkok Makkasan,8.2,Wonderful,9
26,Bangkok,Mercure Bangkok Makkasan,8.2,Exceptional,10
27,Bangkok,Mercure Bangkok Makkasan,8.2,Good,7.1
28,Bangkok,Mercure Bangkok Makkasan,8.2,Exceptional,9.6
29,Bangkok,Mercure Bangkok Makkasan,8.2,Wonderful,9.2
30,Bangkok,Mercure Bangkok Makkasan,8.2,Exceptional,10
31,Bangkok,Mercure Bangkok Makkasan,8.2,Very Good,8
32,Bangkok,Mercure Bangkok Makkasan,8.2,Very Good,8.3
33,Bangkok,Mercure Bangkok Makkasan,8.2,Exceptional,9.6
34,Bangkok,Mercure Bangkok Makkasan,8.2,Fair,5
35,Bangkok,Mercure Bangkok Makkasan,8.2,"Nice hotel for nice and peace Bkk, definitely not for first visit.",8
36,Bangkok,Mercure Bangkok Makkasan,8.2,Excellent,8.8
37,Bangkok,Mercure Bangkok Makkasan,8.2,Okay,5.8
38,Bangkok,Mercure Bangkok Makkasan,8.2,Wonderful,9.2
39,Bangkok,Mercure Bangkok Makkasan,8.2,Quite swish,9
40,Bangkok,Mercure Bangkok Makkasan,8.2,Wonderful,9
41,Bangkok,Mercure Bangkok Makkasan,8.2,Excellent,8.8
42,Bangkok,Mercure Bangkok Makkasan,8.2,Exceptional,9.6
43,Bangkok,Mercure Bangkok Makkasan,8.2,Very Good,8.3
44,Bangkok,Mercure Bangkok Makkasan,8.2,Not a stay if going with a family.,5
45,Bangkok,Mercure Bangkok Makkasan,8.2,Good for the money,9
46,Bangkok,Mercure Bangkok Makkasan,8.2,Exceptional,10
47,Bangkok,Mercure Bangkok Makkasan,8.2,Very Good,8
48,Bangkok,Mercure Bangkok Makkasan,8.2,Very Good,8
49,Bangkok,Mercure Bangkok Makkasan,8.2,Very Good,8
50,Bangkok,Mercure Bangkok Makkasan,8.2,Bad,1
51,Bangkok,Mercure Bangkok Makkasan,8.2,Good,7
52,Bangkok,Mercure Bangkok Makkasan,8.2,Exceptional,10
53,Bangkok,Mercure Bangkok Makkasan,8.2,Exceptional,10
54,Bangkok,Mercure Bangkok Makkasan,8.2,Amazing little place with hard working staff,8
55,Bangkok,Mercure Bangkok Makkasan,8.2,"Nice hotel, a quick stop over. Bad location for a longer stay.",6
56,Bangkok,Mercure Bangkok Makkasan,8.2,Reasonably priced hotel,9.2
57,Bangkok,Mercure Bangkok Makkasan,8.2,Very Good,8
58,Bangkok,Mercure Bangkok Makkasan,8.2,Wonderful,9.2
59,Bangkok,Mercure Bangkok Makkasan,8.2,Exceptional,10
60,Bangkok,Mercure Bangkok Makkasan,8.2,Pleasant,6
61,Bangkok,Mercure Bangkok Makkasan,8.2,Good,7.9
62,Bangkok,Mercure Bangkok Makkasan,8.2,Clean and can connect yoi,8
63,Bangkok,Mercure Bangkok Makkasan,8.2,Very Good,8
64,Bangkok,Mercure Bangkok Makkasan,8.2,Exceptional,10
65,Bangkok,Mercure Bangkok Makkasan,8.2,Avoidable..,3
66,Bangkok,Mercure Bangkok Makkasan,8.2,Wonderful,9
67,Bangkok,Mercure Bangkok Makkasan,8.2,Good.,8
68,Bangkok,Mercure Bangkok Makkasan,8.2,Exceptional,9.6
69,Bangkok,Mercure Bangkok Makkasan,8.2,Wonderful,9
70,Bangkok,Mercure Bangkok Makkasan,8.2,Very Poor,2.9
71,Bangkok,Mercure Bangkok Makkasan,8.2,Good overall,6
72,Bangkok,Mercure Bangkok Makkasan,8.2,Exceptional,9.6
73,Bangkok,Mercure Bangkok Makkasan,8.2,Good,7
74,Bangkok,Mercure Bangkok Makkasan,8.2,Average,6.2
75,Bangkok,Mercure Bangkok Makkasan,8.2,Exceptional,9.6
76,Bangkok,Mercure Bangkok Makkasan,8.2,Very Poor,2
77,Bangkok,Mercure Bangkok Makkasan,8.2,Exceptional,10
78,Bangkok,Mercure Bangkok Makkasan,8.2,Very bad people,1
79,Bangkok,Mercure Bangkok Makkasan,8.2,Pleasant,6.2
80,Bangkok,Mercure Bangkok Makkasan,8.2,Wonderful,9.2
81,Bangkok,Mercure Bangkok Makkasan,8.2,"Perfect location if you travel without car, perfect connection to the airport rail link",10
82,Bangkok,Mercure Bangkok Makkasan,8.2,Exceptional,10
83,Bangkok,Mercure Bangkok Makkasan,8.2,Exceptional,10
84,Bangkok,Mercure Bangkok Makkasan,8.2,A v. decent hotel at a great price. Bad location though if you want shops and restaurants,7
85,Bangkok,Mercure Bangkok Makkasan,8.2,Exceptional,10
86,Bangkok,Mercure Bangkok Makkasan,8.2,Ok for a short visit before leaving Bangkok,6
87,Bangkok,Mercure Bangkok Makkasan,8.2,Very Good,8
88,Bangkok,Mercure Bangkok Makkasan,8.2,This was my 2nd time and I would not hesitate to book again,8
89,Bangkok,Mercure Bangkok Makkasan,8.2,Good connection to airport BKK,8
90,Bangkok,Mercure Bangkok Makkasan,8.2,Wonderful,9
91,Bangkok,Mercure Bangkok Makkasan,8.2,Convenient comfortable hotel,10
92,Bangkok,Mercure Bangkok Makkasan,8.2,"A very nice, quiet, accessible and comfortable room in Bangkok !",9
93,Bangkok,Mercure Bangkok Makkasan,8.2,Wonderful,9.2
94,Bangkok,Mercure Bangkok Makkasan,8.2,Exceptional,10
95,Bangkok,Mercure Bangkok Makkasan,8.2,Exceptional,9.6
96,Bangkok,Mercure Bangkok Makkasan,8.2,Very Good,8.3
97,Bangkok,Mercure Bangkok Makkasan,8.2,Wonderful,9.2
98,Bangkok,Mercure Bangkok Makkasan,8.2,Very Good,8.3
99,Bangkok,Mercure Bangkok Makkasan,8.2,Good,7
100,Bangkok,Best Western Premier Sukhumvit - SHA Extra Plus,8,Exceptional,10
101,Bangkok,Best Western Premier Sukhumvit - SHA Extra Plus,8,Disappointing,4
102,Bangkok,Best Western Premier Sukhumvit - SHA Extra Plus,8,Wonderful,9
103,Bangkok,Best Western Premier Sukhumvit - SHA Extra Plus,8,Very Good,8
104,Bangkok,Best Western Premier Sukhumvit - SHA Extra Plus,8,Fair,5
105,Bangkok,Best Western Premier Sukhumvit - SHA Extra Plus,8,Disappointing,4
106,Bangkok,Best Western Premier Sukhumvit - SHA Extra Plus,8,Exceptional,10
107,Bangkok,Best Western Premier Sukhumvit - SHA Extra Plus,8,Fair,5
108,Bangkok,Best Western Premier Sukhumvit - SHA Extra Plus,8,Fair,5
109,Bangkok,Best Western Premier Sukhumvit - SHA Extra Plus,8,Bad,1
110,Bangkok,Best Western Premier Sukhumvit - SHA Extra Plus,8,Wonderful,9
111,Bangkok,Best Western Premier Sukhumvit - SHA Extra Plus,8,I was okay.,8
112,Bangkok,Best Western Premier Sukhumvit - SHA Extra Plus,8,Wonderful,9
113,Bangkok,Best Western Premier Sukhumvit - SHA Extra Plus,8,Good,7
114,Bangkok,Best Western Premier Sukhumvit - SHA Extra Plus,8,Good for people who are in Bangkok for only hospital purposes,3
115,Bangkok,Best Western Premier Sukhumvit - SHA Extra Plus,8,Pleasant,6
116,Bangkok,Best Western Premier Sukhumvit - SHA Extra Plus,8,My stay was OK but nothing to write home about.,5
117,Bangkok,Best Western Premier Sukhumvit - SHA Extra Plus,8,Good,7
118,Bangkok,Best Western Premier Sukhumvit - SHA Extra Plus,8,Very Good,8
119,Bangkok,Best Western Premier Sukhumvit - SHA Extra Plus,8,Pleasant,6
120,Bangkok,Best Western Premier Sukhumvit - SHA Extra Plus,8,Very Good,8
121,Bangkok,Best Western Premier Sukhumvit - SHA Extra Plus,8,Seen better days!,5
122,Bangkok,Best Western Premier Sukhumvit - SHA Extra Plus,8,Wonderful,9
123,Bangkok,Best Western Premier Sukhumvit - SHA Extra Plus,8,Good hotel for a business stay or short stay in Bangkok.,8
124,Bangkok,Best Western Premier Sukhumvit - SHA Extra Plus,8,Fair,5
125,Bangkok,Best Western Premier Sukhumvit - SHA Extra Plus,8,Very Good,8
126,Bangkok,Best Western Premier Sukhumvit - SHA Extra Plus,8,Very Good,8
127,Bangkok,Best Western Premier Sukhumvit - SHA Extra Plus,8,"nice hotel, comfortable rooms.",7
128,Bangkok,Best Western Premier Sukhumvit - SHA Extra Plus,8,Not recommended,1
129,Bangkok,Best Western Premier Sukhumvit - SHA Extra Plus,8,Exceptional,10
130,Bangkok,Best Western Premier Sukhumvit - SHA Extra Plus,8,Good,7
131,Bangkok,Best Western Premier Sukhumvit - SHA Extra Plus,8,"whoever comes to visit bumngrand hospital , this hotel is the best chioce",10
132,Bangkok,Best Western Premier Sukhumvit - SHA Extra Plus,8,good place for a short stay when visiting the hosptial,5
133,Bangkok,Best Western Premier Sukhumvit - SHA Extra Plus,8,Exceptional,10
134,Bangkok,Best Western Premier Sukhumvit - SHA Extra Plus,8,Good,7
135,Bangkok,Best Western Premier Sukhumvit - SHA Extra Plus,8,Very Good,8
136,Bangkok,Best Western Premier Sukhumvit - SHA Extra Plus,8,Exceptional,10
137,Bangkok,Best Western Premier Sukhumvit - SHA Extra Plus,8,Very Good,8
138,Bangkok,Best Western Premier Sukhumvit - SHA Extra Plus,8,8.5,9
139,Bangkok,Best Western Premier Sukhumvit - SHA Extra Plus,8,Very Good,8
140,Bangkok,Best Western Premier Sukhumvit - SHA Extra Plus,8,Very nice hotel. I would definitely recommend to others.,10
141,Bangkok,Best Western Premier Sukhumvit - SHA Extra Plus,8,Excellent,8.8
142,Bangkok,Best Western Premier Sukhumvit - SHA Extra Plus,8,Exceptional,10
143,Bangkok,Best Western Premier Sukhumvit - SHA Extra Plus,8,Good Location,9
144,Bangkok,Best Western Premier Sukhumvit - SHA Extra Plus,8,Very Good,8
145,Bangkok,Best Western Premier Sukhumvit - SHA Extra Plus,8,Exceptional,10
146,Bangkok,Best Western Premier Sukhumvit - SHA Extra Plus,8,Poor,3
147,Bangkok,Best Western Premier Sukhumvit - SHA Extra Plus,8,Morning greet!,10
148,Bangkok,Best Western Premier Sukhumvit - SHA Extra Plus,8,Exceptional,10
149,Bangkok,Best Western Premier Sukhumvit - SHA Extra Plus,8,Good,7.9
150,Bangkok,Best Western Premier Sukhumvit - SHA Extra Plus,8,Good,7.9
151,Bangkok,Best Western Premier Sukhumvit - SHA Extra Plus,8,Good,7.9
152,Bangkok,Best Western Premier Sukhumvit - SHA Extra Plus,8,Exceptional,10
153,Bangkok,Best Western Premier Sukhumvit - SHA Extra Plus,8,Good,7.9
154,Bangkok,Best Western Premier Sukhumvit - SHA Extra Plus,8,Very Good,8
155,Bangkok,Best Western Premier Sukhumvit - SHA Extra Plus,8,Exceptional,10
156,Bangkok,Best Western Premier Sukhumvit - SHA Extra Plus,8,Okay,5.8
157,Bangkok,Best Western Premier Sukhumvit - SHA Extra Plus,8,Was good I’d go back again,9
158,Bangkok,Best Western Premier Sukhumvit - SHA Extra Plus,8,Good,7.9
159,Bangkok,Best Western Premier Sukhumvit - SHA Extra Plus,8,Exceptional,10
160,Bangkok,Best Western Premier Sukhumvit - SHA Extra Plus,8,Comfortable hotel,8.3
161,Bangkok,Best Western Premier Sukhumvit - SHA Extra Plus,8,My go to hotel for annual Bumrungrad check up,9.2
162,Bangkok,Best Western Premier Sukhumvit - SHA Extra Plus,8,Satisfied.,7
163,Bangkok,Best Western Premier Sukhumvit - SHA Extra Plus,8,Very Good,8
164,Bangkok,Best Western Premier Sukhumvit - SHA Extra Plus,8,Good,7
165,Bangkok,Best Western Premier Sukhumvit - SHA Extra Plus,8,Disappointing,4
166,Bangkok,Best Western Premier Sukhumvit - SHA Extra Plus,8,No,2.5
167,Bangkok,Best Western Premier Sukhumvit - SHA Extra Plus,8,"Clean, quiet, steps from Bumrungrad Hospital, outstanding staff!",10
168,Bangkok,Best Western Premier Sukhumvit - SHA Extra Plus,8,Exceptional,10
169,Bangkok,Best Western Premier Sukhumvit - SHA Extra Plus,8,Exceptional,10
170,Bangkok,Best Western Premier Sukhumvit - SHA Extra Plus,8,Exceptional,10
171,Bangkok,Best Western Premier Sukhumvit - SHA Extra Plus,8,Wonderful,9
172,Bangkok,Best Western Premier Sukhumvit - SHA Extra Plus,8,Good,7
173,Bangkok,Best Western Premier Sukhumvit - SHA Extra Plus,8,Wonderful,9
174,Bangkok,Best Western Premier Sukhumvit - SHA Extra Plus,8,Wonderful,9
175,Bangkok,Best Western Premier Sukhumvit - SHA Extra Plus,8,Good,7.5
176,Bangkok,Best Western Premier Sukhumvit - SHA Extra Plus,8,Excellent location Near Hospital,8
177,Bangkok,Best Western Premier Sukhumvit - SHA Extra Plus,8,Good,7.1
178,Bangkok,Best Western Premier Sukhumvit - SHA Extra Plus,8,Will be returning to Bangkok in the very near future and planning on staying at this hotel again.,9
179,Bangkok,Best Western Premier Sukhumvit - SHA Extra Plus,8,Best Place to Stay Near Bumrungrad,10
180,Bangkok,Best Western Premier Sukhumvit - SHA Extra Plus,8,Good,7
181,Bangkok,Best Western Premier Sukhumvit - SHA Extra Plus,8,Exceptional,10
182,Bangkok,Best Western Premier Sukhumvit - SHA Extra Plus,8,Very Good,8
183,Bangkok,Best Western Premier Sukhumvit - SHA Extra Plus,8,Exceptional,10
184,Bangkok,Best Western Premier Sukhumvit - SHA Extra Plus,8,Exceptional,10
185,Bangkok,Best Western Premier Sukhumvit - SHA Extra Plus,8,Wonderful,9
