,City Name,Hotel Name,Overall Ratings ,Hotel Comments,individual ratings
0,Kuala Lumpur,Expressionz Suites By iHost Global,8,i would love to come back.. ☺️,8
1,Kuala Lumpur,Expressionz Suites By iHost Global,8,Exceptional,10
2,Kuala Lumpur,Expressionz Suites By iHost Global,8,Ok,5
3,Kuala Lumpur,Expressionz Suites By iHost Global,8,Bad,1
4,Kuala Lumpur,Expressionz Suites By iHost Global,8,Exceptional,10
5,Kuala Lumpur,Expressionz Suites By iHost Global,8,Exceptional,10
6,Kuala Lumpur,Expressionz Suites By iHost Global,8,Exceptional,10
7,Kuala Lumpur,Expressionz Suites By iHost Global,8,good,8
8,Kuala Lumpur,Expressionz Suites By iHost Global,8,Exceptional,10
9,Kuala Lumpur,Expressionz Suites By iHost Global,8,"The room was definitely fine but the assistance and the building were meh, probably will not repeat.",4
10,Kuala Lumpur,Expressionz Suites By iHost Global,8,"worth the money, but many to be improved",6
11,Kuala Lumpur,Expressionz Suites By iHost Global,8,Wonderful,9
12,Kuala Lumpur,Expressionz Suites By iHost Global,8,Good,7
13,Kuala Lumpur,Expressionz Suites By iHost Global,8,Very Good,8
14,Kuala Lumpur,Expressionz Suites By iHost Global,8,Exceptional,10
15,Kuala Lumpur,Expressionz Suites By iHost Global,8,Exceptional,10
16,Kuala Lumpur,Expressionz Suites By iHost Global,8,Good,6
17,Kuala Lumpur,Expressionz Suites By iHost Global,8,Good,7
18,Kuala Lumpur,Expressionz Suites By iHost Global,8,Very Good,8
19,Kuala Lumpur,Expressionz Suites By iHost Global,8,good,10
20,Kuala Lumpur,Expressionz Suites By iHost Global,8,Exceptional,10
21,Kuala Lumpur,Expressionz Suites By iHost Global,8,Good,7
22,Kuala Lumpur,Expressionz Suites By iHost Global,8,Exceptional,10
23,Kuala Lumpur,Expressionz Suites By iHost Global,8,Very Good,8
24,Kuala Lumpur,Expressionz Suites By iHost Global,8,Bad,1
25,Kuala Lumpur,Expressionz Suites By iHost Global,8,"towel missing, no reply whatssapp",4
26,Kuala Lumpur,Expressionz Suites By iHost Global,8,Very Good,8
27,Kuala Lumpur,Expressionz Suites By iHost Global,8,Pleasant,6
28,Kuala Lumpur,Expressionz Suites By iHost Global,8,Good,7
29,Kuala Lumpur,Expressionz Suites By iHost Global,8,Exceptional,10
30,Kuala Lumpur,Expressionz Suites By iHost Global,8,Okay,7
31,Kuala Lumpur,Expressionz Suites By iHost Global,8,Good,7
32,Kuala Lumpur,Expressionz Suites By iHost Global,8,Wonderful,9
33,Kuala Lumpur,Expressionz Suites By iHost Global,8,Good,7
34,Kuala Lumpur,Expressionz Suites By iHost Global,8,Everything perfect,8
35,Kuala Lumpur,Expressionz Suites By iHost Global,8,Nice and comfy,7
36,Kuala Lumpur,Expressionz Suites By iHost Global,8,Very Good,8
37,Kuala Lumpur,Expressionz Suites By iHost Global,8,Very Good,8
38,Kuala Lumpur,Expressionz Suites By iHost Global,8,Very Good,8
39,Kuala Lumpur,Expressionz Suites By iHost Global,8,Exceptional,10
40,Kuala Lumpur,Expressionz Suites By iHost Global,8,Good,7
41,Kuala Lumpur,Expressionz Suites By iHost Global,8,Good,7
42,Kuala Lumpur,Expressionz Suites By iHost Global,8,Very Good,8
43,Kuala Lumpur,Expressionz Suites By iHost Global,8,Exceptional,10
44,Kuala Lumpur,Expressionz Suites By iHost Global,8,Exceptional,10
45,Kuala Lumpur,Expressionz Suites By iHost Global,8,Wonderful,9
46,Kuala Lumpur,Expressionz Suites By iHost Global,8,Wonderful,9
47,Kuala Lumpur,Expressionz Suites By iHost Global,8,Exceptional,10
48,Kuala Lumpur,Expressionz Suites By iHost Global,8,Very Good,8
49,Kuala Lumpur,Expressionz Suites By iHost Global,8,Exceptional,10
50,Kuala Lumpur,Expressionz Suites By iHost Global,8,Exceptional,10
51,Kuala Lumpur,Expressionz Suites By iHost Global,8,Very Good,8
52,Kuala Lumpur,Expressionz Suites By iHost Global,8,Exceptional,10
53,Kuala Lumpur,Expressionz Suites By iHost Global,8,Exceptional,10
54,Kuala Lumpur,Expressionz Suites By iHost Global,8,It is a nice place for a staycation. Family enjoyed it although some things can be improved.,6
55,Kuala Lumpur,Expressionz Suites By iHost Global,8,Fair,5
56,Kuala Lumpur,Expressionz Suites By iHost Global,8,Wonderful,9
57,Kuala Lumpur,Expressionz Suites By iHost Global,8,Exceptional,10
58,Kuala Lumpur,Expressionz Suites By iHost Global,8,Fair,5
59,Kuala Lumpur,Expressionz Suites By iHost Global,8,Good,7
60,Kuala Lumpur,Expressionz Suites By iHost Global,8,Exceptional,10
61,Kuala Lumpur,Expressionz Suites By iHost Global,8,Exceptional,10
62,Kuala Lumpur,Expressionz Suites By iHost Global,8,Wonderful,9
63,Kuala Lumpur,Expressionz Suites By iHost Global,8,Great great great place i dont have any problem coming back,10
64,Kuala Lumpur,Expressionz Suites By iHost Global,8,Exceptional,10
65,Kuala Lumpur,Expressionz Suites By iHost Global,8,Very Good,8
66,Kuala Lumpur,Expressionz Suites By iHost Global,8,Wonderful,9
67,Kuala Lumpur,Expressionz Suites By iHost Global,8,Good,7
68,Kuala Lumpur,Expressionz Suites By iHost Global,8,Exceptional,10
69,Kuala Lumpur,Expressionz Suites By iHost Global,8,Very Good,8
70,Kuala Lumpur,Expressionz Suites By iHost Global,8,Cozy staycations,8
71,Kuala Lumpur,Expressionz Suites By iHost Global,8,Very Good,8
72,Kuala Lumpur,Expressionz Suites By iHost Global,8,Very Good,8
73,Kuala Lumpur,Expressionz Suites By iHost Global,8,Exceptional,10
74,Kuala Lumpur,Expressionz Suites By iHost Global,8,Fair,5
75,Kuala Lumpur,Expressionz Suites By iHost Global,8,Wonderful,9
76,Kuala Lumpur,Expressionz Suites By iHost Global,8,Very Good,8
77,Kuala Lumpur,Expressionz Suites By iHost Global,8,Pleasant,6
78,Kuala Lumpur,Expressionz Suites By iHost Global,8,Exceptional,10
79,Kuala Lumpur,Expressionz Suites By iHost Global,8,Exceptional,10
80,Kuala Lumpur,Expressionz Suites By iHost Global,8,Very Good,8
81,Kuala Lumpur,Expressionz Suites By iHost Global,8,Very Good,8
82,Kuala Lumpur,Expressionz Suites By iHost Global,8,Exceptional,10
83,Kuala Lumpur,Expressionz Suites By iHost Global,8,Good,7
84,Kuala Lumpur,Expressionz Suites By iHost Global,8,Exceptional,10
85,Kuala Lumpur,Expressionz Suites By iHost Global,8,Exceptional,10
86,Kuala Lumpur,Expressionz Suites By iHost Global,8,Wonderful,9
87,Kuala Lumpur,Expressionz Suites By iHost Global,8,Exceptional,10
88,Kuala Lumpur,Expressionz Suites By iHost Global,8,Exceptional,10
89,Kuala Lumpur,Expressionz Suites By iHost Global,8,Very Good,8
90,Kuala Lumpur,Expressionz Suites By iHost Global,8,Exceptional,10
91,Kuala Lumpur,Expressionz Suites By iHost Global,8,Pleasant,6
92,Kuala Lumpur,Expressionz Suites By iHost Global,8,Pleasant,6
