,City Name,Hotel Name,Overall Ratings ,Hotel Comments,individual ratings
0,Singapore,M Hotel Singapore City Centre†,8.2,i would love to come back.. ‚ò∫Ô∏è,8
1,Singapore,M Hotel Singapore City Centre†,8.2,Exceptional,10
2,Singapore,M Hotel Singapore City Centre†,8.2,Ok,5
3,Singapore,M Hotel Singapore City Centre†,8.2,Bad,1
4,Singapore,M Hotel Singapore City Centre†,8.2,Exceptional,10
5,Singapore,M Hotel Singapore City Centre†,8.2,Exceptional,10
6,Singapore,M Hotel Singapore City Centre†,8.2,Exceptional,10
7,Singapore,M Hotel Singapore City Centre†,8.2,good,8
8,Singapore,M Hotel Singapore City Centre†,8.2,Exceptional,10
9,Singapore,M Hotel Singapore City Centre†,8.2,"The room was definitely fine but the assistance and the building were meh, probably will not repeat.",4
10,Singapore,M Hotel Singapore City Centre†,8.2,"worth the money, but many to be improved",6
11,Singapore,M Hotel Singapore City Centre†,8.2,Wonderful,9
12,Singapore,M Hotel Singapore City Centre†,8.2,Good,7
13,Singapore,M Hotel Singapore City Centre†,8.2,Very Good,8
14,Singapore,M Hotel Singapore City Centre†,8.2,Exceptional,10
15,Singapore,M Hotel Singapore City Centre†,8.2,Exceptional,10
16,Singapore,M Hotel Singapore City Centre†,8.2,Good,6
17,Singapore,M Hotel Singapore City Centre†,8.2,Good,7
18,Singapore,M Hotel Singapore City Centre†,8.2,Very Good,8
19,Singapore,M Hotel Singapore City Centre†,8.2,good,10
20,Singapore,M Hotel Singapore City Centre†,8.2,Exceptional,10
21,Singapore,M Hotel Singapore City Centre†,8.2,Good,7
22,Singapore,M Hotel Singapore City Centre†,8.2,Exceptional,10
23,Singapore,M Hotel Singapore City Centre†,8.2,Very Good,8
24,Singapore,M Hotel Singapore City Centre†,8.2,Bad,1
25,Singapore,M Hotel Singapore City Centre†,8.2,"towel missing, no reply whatssapp",4
26,Singapore,M Hotel Singapore City Centre†,8.2,Very Good,8
27,Singapore,M Hotel Singapore City Centre†,8.2,Pleasant,6
28,Singapore,M Hotel Singapore City Centre†,8.2,Good,7
29,Singapore,M Hotel Singapore City Centre†,8.2,Exceptional,10
30,Singapore,M Hotel Singapore City Centre†,8.2,Okay,7
31,Singapore,M Hotel Singapore City Centre†,8.2,Good,7
32,Singapore,M Hotel Singapore City Centre†,8.2,Wonderful,9
33,Singapore,M Hotel Singapore City Centre†,8.2,Good,7
34,Singapore,M Hotel Singapore City Centre†,8.2,Everything perfect,8
35,Singapore,M Hotel Singapore City Centre†,8.2,Nice and comfy,7
36,Singapore,M Hotel Singapore City Centre†,8.2,Very Good,8
37,Singapore,M Hotel Singapore City Centre†,8.2,Very Good,8
38,Singapore,M Hotel Singapore City Centre†,8.2,Very Good,8
39,Singapore,M Hotel Singapore City Centre†,8.2,Exceptional,10
40,Singapore,M Hotel Singapore City Centre†,8.2,Good,7
41,Singapore,M Hotel Singapore City Centre†,8.2,Good,7
42,Singapore,M Hotel Singapore City Centre†,8.2,Very Good,8
43,Singapore,M Hotel Singapore City Centre†,8.2,Exceptional,10
44,Singapore,M Hotel Singapore City Centre†,8.2,Exceptional,10
45,Singapore,M Hotel Singapore City Centre†,8.2,Wonderful,9
46,Singapore,M Hotel Singapore City Centre†,8.2,Wonderful,9
47,Singapore,M Hotel Singapore City Centre†,8.2,Exceptional,10
48,Singapore,M Hotel Singapore City Centre†,8.2,Very Good,8
49,Singapore,M Hotel Singapore City Centre†,8.2,Exceptional,10
50,Singapore,M Hotel Singapore City Centre†,8.2,Exceptional,10
51,Singapore,M Hotel Singapore City Centre†,8.2,Very Good,8
52,Singapore,M Hotel Singapore City Centre†,8.2,Exceptional,10
53,Singapore,M Hotel Singapore City Centre†,8.2,Exceptional,10
54,Singapore,M Hotel Singapore City Centre†,8.2,It is a nice place for a staycation. Family enjoyed it although some things can be improved.,6
55,Singapore,M Hotel Singapore City Centre†,8.2,Fair,5
56,Singapore,M Hotel Singapore City Centre†,8.2,Wonderful,9
57,Singapore,M Hotel Singapore City Centre†,8.2,Exceptional,10
58,Singapore,M Hotel Singapore City Centre†,8.2,Fair,5
59,Singapore,M Hotel Singapore City Centre†,8.2,Good,7
60,Singapore,M Hotel Singapore City Centre†,8.2,Exceptional,10
61,Singapore,M Hotel Singapore City Centre†,8.2,Exceptional,10
62,Singapore,M Hotel Singapore City Centre†,8.2,Wonderful,9
63,Singapore,M Hotel Singapore City Centre†,8.2,Great great great place i dont have any problem coming back,10
64,Singapore,M Hotel Singapore City Centre†,8.2,Exceptional,10
65,Singapore,M Hotel Singapore City Centre†,8.2,Very Good,8
66,Singapore,M Hotel Singapore City Centre†,8.2,Wonderful,9
67,Singapore,M Hotel Singapore City Centre†,8.2,Good,7
68,Singapore,M Hotel Singapore City Centre†,8.2,Exceptional,10
69,Singapore,M Hotel Singapore City Centre†,8.2,Very Good,8
70,Singapore,M Hotel Singapore City Centre†,8.2,Cozy staycations,8
71,Singapore,M Hotel Singapore City Centre†,8.2,Very Good,8
72,Singapore,M Hotel Singapore City Centre†,8.2,Very Good,8
73,Singapore,M Hotel Singapore City Centre†,8.2,Exceptional,10
74,Singapore,M Hotel Singapore City Centre†,8.2,Fair,5
75,Singapore,M Hotel Singapore City Centre†,8.2,Wonderful,9
76,Singapore,M Hotel Singapore City Centre†,8.2,Very Good,8
77,Singapore,M Hotel Singapore City Centre†,8.2,Pleasant,6
78,Singapore,M Hotel Singapore City Centre†,8.2,Exceptional,10
79,Singapore,M Hotel Singapore City Centre†,8.2,Exceptional,10
80,Singapore,M Hotel Singapore City Centre†,8.2,Very Good,8
81,Singapore,M Hotel Singapore City Centre†,8.2,Very Good,8
82,Singapore,M Hotel Singapore City Centre†,8.2,Exceptional,10
83,Singapore,M Hotel Singapore City Centre†,8.2,Good,7
84,Singapore,M Hotel Singapore City Centre†,8.2,Exceptional,10
85,Singapore,M Hotel Singapore City Centre†,8.2,Exceptional,10
86,Singapore,M Hotel Singapore City Centre†,8.2,Wonderful,9
87,Singapore,M Hotel Singapore City Centre†,8.2,Exceptional,10
88,Singapore,M Hotel Singapore City Centre†,8.2,Exceptional,10
89,Singapore,M Hotel Singapore City Centre†,8.2,Very Good,8
90,Singapore,M Hotel Singapore City Centre†,8.2,Exceptional,10
91,Singapore,M Hotel Singapore City Centre†,8.2,Pleasant,6
92,Singapore,M Hotel Singapore City Centre†,8.2,Pleasant,6
93,Singapore,M Hotel Singapore City Centre†,8.2,Exceptional,10
94,Singapore,M Hotel Singapore City Centre†,8.2,Wonderful,9
95,Singapore,M Hotel Singapore City Centre†,8.2,Very Poor,2
96,Singapore,M Hotel Singapore City Centre†,8.2,Is not my firsttime to stay here! So everything was perfect. And the staff is so friendly,10
97,Singapore,M Hotel Singapore City Centre†,8.2,totally i am very very like it,9
98,Singapore,M Hotel Singapore City Centre†,8.2,Good,7
99,Singapore,M Hotel Singapore City Centre†,8.2,Fair,5
100,Singapore,Village Hotel Sentosa by Far East Hospitality (SG Clean),8.4,Very Good,8
101,Singapore,Village Hotel Sentosa by Far East Hospitality (SG Clean),8.4,Acceptable,7
102,Singapore,Village Hotel Sentosa by Far East Hospitality (SG Clean),8.4,Exceptional,10
103,Singapore,Village Hotel Sentosa by Far East Hospitality (SG Clean),8.4,Fair,5
104,Singapore,Village Hotel Sentosa by Far East Hospitality (SG Clean),8.4,Exceptional,10
105,Singapore,Village Hotel Sentosa by Far East Hospitality (SG Clean),8.4,Exceptional,10
106,Singapore,Village Hotel Sentosa by Far East Hospitality (SG Clean),8.4,Fair,5
107,Singapore,Village Hotel Sentosa by Far East Hospitality (SG Clean),8.4,Exceptional,10
