,Positive Scores,Negative Scores,Neutral Scores,Compound Scores,individual ratings
0,0,1,0,-0.5423,1
1,0,0,1,0,10
2,1,0,0,0.5719,9
3,0.762,0,0.238,0.4927,8
4,0.762,0,0.238,0.4927,8
5,0.762,0,0.238,0.4927,8
6,0.762,0,0.238,0.4927,8
7,1,0,0,0.5719,8.8
8,0.42,0,0.58,0.6996,7
9,0.762,0,0.238,0.4927,8
10,0.738,0,0.262,0.858,10
11,1,0,0,0.4404,7.1
12,1,0,0,0.5719,9
13,1,0,0,0.4404,7
14,1,0,0,0.5719,9.2
15,0.762,0,0.238,0.4927,8
16,1,0,0,0.4404,7.9
17,1,0,0,0.5719,8.8
18,0,0,1,0,10
19,0,0,1,0,7
20,1,0,0,0.3182,5
21,0.444,0,0.556,0.749,8
22,0,1,0,-0.4767,3
23,1,0,0,0.4404,7.9
24,1,0,0,0.5719,9.2
25,1,0,0,0.5719,9
26,0,0,1,0,10
27,1,0,0,0.4404,7.1
28,0,0,1,0,9.6
29,1,0,0,0.5719,9.2
30,0,0,1,0,10
31,0.762,0,0.238,0.4927,8
32,0.762,0,0.238,0.4927,8.3
33,0,0,1,0,9.6
34,1,0,0,0.3182,5
35,0.596,0,0.404,0.8957,8
36,1,0,0,0.5719,8.8
37,1,0,0,0.2263,5.8
38,1,0,0,0.5719,9.2
39,0,0,1,0,9
40,1,0,0,0.5719,9
41,1,0,0,0.5719,8.8
42,0,0,1,0,9.6
43,0.762,0,0.238,0.4927,8.3
44,0,0,1,0,5
45,0.492,0,0.508,0.4404,9
46,0,0,1,0,10
47,0.762,0,0.238,0.4927,8
48,0.762,0,0.238,0.4927,8
49,0.762,0,0.238,0.4927,8
50,0,1,0,-0.5423,1
51,1,0,0,0.4404,7
52,0,0,1,0,10
53,0,0,1,0,10
54,0.382,0.114,0.503,0.5667,8
55,0.181,0.368,0.452,-0.4404,6
56,0,0,1,0,9.2
57,0.762,0,0.238,0.4927,8
58,1,0,0,0.5719,9.2
59,0,0,1,0,10
60,1,0,0,0.5106,6
61,1,0,0,0.4404,7.9
62,0.403,0,0.597,0.4019,8
63,0.762,0,0.238,0.4927,8
64,0,0,1,0,10
65,0,0,1,0,3
66,1,0,0,0.5719,9
67,1,0,0,0.4404,8
68,0,0,1,0,9.6
69,1,0,0,0.5719,9
70,0,0.772,0.228,-0.5256,2.9
71,0.744,0,0.256,0.4404,6
72,0,0,1,0,9.6
73,1,0,0,0.4404,7
74,0,0,1,0,6.2
75,0,0,1,0,9.6
76,0,0.772,0.228,-0.5256,2
77,0,0,1,0,10
78,0,0.655,0.345,-0.5849,1
79,1,0,0,0.5106,6.2
80,1,0,0,0.5719,9.2
81,0.198,0.16,0.642,0.1783,10
82,0,0,1,0,10
83,0,0,1,0,10
84,0.258,0.167,0.574,0.2263,7
85,0,0,1,0,10
86,0.268,0,0.732,0.296,6
87,0.762,0,0.238,0.4927,8
88,0.142,0,0.858,0.2057,8
89,0.42,0,0.58,0.4404,8
90,1,0,0,0.5719,9
91,0.623,0,0.377,0.5106,10
92,0.488,0,0.512,0.7707,9
93,1,0,0,0.5719,9.2
94,0,0,1,0,10
95,0,0,1,0,9.6
96,0.762,0,0.238,0.4927,8.3
97,1,0,0,0.5719,9.2
98,0.762,0,0.238,0.4927,8.3
99,1,0,0,0.4404,7
100,0,0,1,0,10
101,0,1,0,-0.4939,4
102,1,0,0,0.5719,9
103,0.762,0,0.238,0.4927,8
104,1,0,0,0.3182,5
105,0,1,0,-0.4939,4
106,0,0,1,0,10
107,1,0,0,0.3182,5
108,1,0,0,0.3182,5
109,0,1,0,-0.5423,1
110,1,0,0,0.5719,9
111,0.655,0,0.345,0.2263,8
112,1,0,0,0.5719,9
113,1,0,0,0.4404,7
114,0.225,0,0.775,0.4404,3
115,1,0,0,0.5106,6
116,0.179,0,0.821,0.2421,5
117,1,0,0,0.4404,7
118,0.762,0,0.238,0.4927,8
119,1,0,0,0.5106,6
120,0.762,0,0.238,0.4927,8
121,0.615,0,0.385,0.4926,5
122,1,0,0,0.5719,9
123,0.244,0,0.756,0.4404,8
124,1,0,0,0.3182,5
125,0.762,0,0.238,0.4927,8
126,0.762,0,0.238,0.4927,8
127,0.753,0,0.247,0.7269,7
128,0,0.614,0.386,-0.1511,1
129,0,0,1,0,10
130,1,0,0,0.4404,7
131,0.276,0,0.724,0.6369,10
132,0.266,0,0.734,0.4404,5
133,0,0,1,0,10
134,1,0,0,0.4404,7
135,0.762,0,0.238,0.4927,8
136,0,0,1,0,10
137,0.762,0,0.238,0.4927,8
138,0,0,1,0,9
